Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
107,Devin Vassell,25,SAS,SG,17,17,33.4,5.2,12.5,0.415,2.5,6.8,0.374,2.6,5.7,0.464,0.517,1.5,1.8,0.839,0.4,3.4,3.8,2.4,1.1,0.4,1.2,2.1,14.4,,vassede01
108,Reed Sheppard,21,HOU,PG,16,2,24.9,5.3,10.8,0.488,2.8,6.2,0.455,2.4,4.6,0.534,0.619,0.9,1.3,0.714,0.4,2.4,2.8,3.3,1.6,0.4,1.3,2,14.3,,sheppre01
109,Nic Claxton,26,BRK,C,17,17,29.6,5.2,9.4,0.56,0,0.4,0,5.2,9,0.582,0.56,3.6,5.2,0.697,2.9,4.6,7.5,4.1,0.7,1.4,1.4,2.6,14.1,,claxtni01
110,Obi Toppin,27,IND,PF,3,0,27.3,5,12,0.417,1,5.7,0.176,4,6.3,0.632,0.458,3,3,1,1,5.7,6.7,1.7,1,0,2,2.3,14,,toppiob01
111,Russell Westbrook,37,SAC,SF,19,13,28.4,5.2,11.6,0.445,2.1,5.3,0.39,3.1,6.3,0.492,0.534,1.6,2.6,0.633,1.5,5.4,6.9,6.4,1.1,0.2,3.2,2.3,14,,westbru01
112,Sam Merrill,29,CLE,SG,12,8,25.9,4.5,9.7,0.466,3.7,8.3,0.444,0.8,1.4,0.588,0.655,1.3,1.3,0.938,0.8,1.3,2.1,2.3,0.5,0.3,0.8,2.9,13.9,,merrisa01
113,Anfernee Simons,26,BOS,SG,18,0,24.2,4.9,11.2,0.438,2.6,6.4,0.409,2.3,4.8,0.477,0.555,1.5,1.7,0.871,0.3,2,2.3,2.7,0.4,0.2,1.4,2.2,13.9,,simonan01
114,Santi Aldama,25,MEM,PF,19,2,26.5,5.4,11.5,0.47,1.5,4.7,0.322,3.9,6.8,0.574,0.537,1.4,2.2,0.643,1.5,5.1,6.6,2.8,1,0.8,1.1,1.3,13.8,,aldamsa01
115,Matas Buzelis,21,CHI,PF,17,17,27.4,5,10.8,0.464,1.6,4.5,0.368,3.4,6.3,0.533,0.541,2.2,2.5,0.86,1,4.5,5.5,1.3,0.6,1.4,1.9,3,13.8,,buzelma01
116,Jonathan Kuminga,23,GSW,PF,13,12,27.7,5,10.5,0.478,0.9,2.8,0.324,4.1,7.6,0.535,0.522,2.8,3.7,0.771,1.6,5,6.6,2.8,0.4,0.3,2.7,1.9,13.8,,kuminjo01
117,Cedric Coward,22,MEM,SG,19,6,26.8,4.6,9.9,0.466,1.7,4.6,0.375,2.9,5.3,0.545,0.553,2.7,3.1,0.864,1.5,4.5,6,2.8,0.7,0.4,1.3,1.9,13.7,,cowarce01
118,Donte DiVincenzo,29,MIN,SG,18,18,31.2,4.2,10.1,0.418,3,7.8,0.386,1.2,2.3,0.524,0.566,2.2,2.6,0.851,0.8,3.2,3.9,3.3,1.2,0.4,1.5,2.3,13.7,,divindo01
119,Tobias Harris,33,DET,PF,9,9,29.9,4.8,10.7,0.448,1.4,4.4,0.325,3.3,6.2,0.536,0.516,2.7,3,0.889,0.6,4.6,5.1,2.9,0.7,0.4,1,2.7,13.7,,harrito02
120,Jalen Suggs,24,ORL,PG,14,14,23.3,4.6,9,0.508,1.8,5,0.357,2.8,4,0.696,0.607,2.7,3,0.905,0.8,3.1,3.9,5.1,1.6,0.6,2.9,3.2,13.6,,suggsja01
121,Darius Garland,26,CLE,PG,5,5,25.8,4,11.6,0.345,2,5.4,0.37,2,6.2,0.323,0.431,3.4,3.4,1,0.8,1.6,2.4,6,0.6,0,2.6,1.8,13.4,,garlada01
122,Paul George,35,PHI,PF,3,3,22,4,10.3,0.387,1.7,5.3,0.313,2.3,5,0.467,0.468,3.7,5.3,0.688,0.3,4.3,4.7,3.7,1,1,2,0.7,13.3,,georgpa01
123,Kyle Kuzma,30,MIL,PF,18,9,26.3,5,10.3,0.486,0.8,2.9,0.288,4.2,7.4,0.564,0.527,2.4,3.2,0.772,0.8,4,4.8,2,0.7,0.5,1.3,2.6,13.3,,kuzmaky01
124,Isaiah Joe,26,OKC,SG,14,0,24.3,4,9,0.444,2.9,7.3,0.402,1.1,1.7,0.625,0.607,2.3,2.5,0.914,0.5,2.1,2.6,1.5,0.7,0.2,1,1.8,13.2,,joeis01
125,Malik Monk,27,SAC,SG,16,0,23.9,4.9,10.7,0.456,1.9,4.6,0.425,2.9,6.1,0.48,0.547,1.5,1.7,0.889,0.4,1.3,1.7,2.1,0.8,0.5,1.1,1.6,13.2,,monkma01
126,Naz Reid,26,MIN,C,18,0,24.4,5.1,11.2,0.453,2,5.5,0.364,3.1,5.7,0.539,0.542,1,1.4,0.72,1.4,4.2,5.6,1.9,0.9,0.9,1.4,2.8,13.1,,reidna01
127,Dylan Harper,19,SAS,SG,7,0,22.4,4.9,10.3,0.472,0.9,2.3,0.375,4,8,0.5,0.514,2.4,2.9,0.85,1.1,2.7,3.9,3.6,0.9,0,1.6,3,13,,harpedy01
128,Myles Turner,29,MIL,C,19,19,30.1,4.5,10.1,0.445,2.4,5.8,0.405,2.1,4.2,0.5,0.563,1.7,2.4,0.696,1.2,5.5,6.7,1.8,1.1,1.7,1.3,2.7,13,,turnemy01
129,Harrison Barnes,33,SAS,PF,17,17,30.8,4.5,8.5,0.524,2.4,5.2,0.449,2.1,3.3,0.643,0.662,1.6,1.9,0.875,0.8,2.4,3.2,2.1,1.1,0.2,1.3,1.6,12.9,,barneha02
130,Mark Williams,24,PHO,C,16,13,25.6,5.1,7.9,0.651,0,0,,5.1,7.9,0.651,0.651,2.6,3.4,0.764,3.4,5.5,8.9,1.1,1.4,0.9,1,2.9,12.9,,willima07
131,Anthony Black,22,ORL,PG,19,4,27.2,4.7,9.6,0.489,1.2,3.5,0.348,3.5,6.1,0.569,0.552,2.3,3.3,0.694,0.5,2.4,2.9,2.7,1.4,0.6,2.1,2.6,12.8,,blackan01
132,Max Christie,22,DAL,SG,19,16,29.9,4.4,8.9,0.491,2.6,5.5,0.476,1.7,3.4,0.516,0.639,1.4,1.8,0.794,0.1,3.5,3.6,2.2,0.5,0.5,1.3,1.8,12.8,,chrisma02
133,Kevin Huerter,27,CHI,SF,16,5,24.7,4.8,9.8,0.484,1.4,4.8,0.303,3.3,5.1,0.654,0.557,1.6,1.9,0.839,0.6,3,3.6,2.6,0.9,0.9,1.4,2.3,12.6,,huertke01
134,Keldon Johnson,26,SAS,SF,17,0,24.2,4.9,8.6,0.575,0.8,2.5,0.31,4.2,6.1,0.683,0.62,1.8,2.3,0.795,2.2,4.2,6.5,1.8,0.8,0.1,1,1.8,12.5,,johnske04
